field,fieldtype,from,fromString,to,toString,key,created,author,project
assignee,jira,,,sebastiangrief,Sebastian Grief,PAINTROID-127,2020-02-14T11:20:11.156+0100,sebastiangrief,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-127,2020-02-14T11:20:11.156+0100,sebastiangrief,PAINTROID
Developer,custom,,,sebastiangrief,Sebastian Grief,PAINTROID-127,2020-02-14T11:20:11.156+0100,sebastiangrief,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-127,2020-04-08T13:37:02.751+0200,sebastiangrief,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-127,2020-04-08T13:37:02.751+0200,sebastiangrief,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-127,2020-04-19T18:15:02.195+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-127,2020-04-19T18:15:50.315+0200,tobiasstangl,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-127,2020-04-19T18:15:50.315+0200,tobiasstangl,PAINTROID
Code Reviewer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-127,2020-04-19T18:15:50.315+0200,tobiasstangl,PAINTROID
assignee,jira,,,wslany,Wolfgang Slany,PAINTROID-127,2020-04-20T07:39:17.729+0200,wslany,PAINTROID
resolution,jira,,,6,Done,PAINTROID-127,2020-04-20T07:43:03.892+0200,wslany,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-127,2020-04-20T07:43:03.892+0200,wslany,PAINTROID
Code Merger,custom,,,wslany,Wolfgang Slany,PAINTROID-127,2020-04-20T07:43:03.892+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-126,2020-02-11T18:20:57.212+0100,wslany,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-126,2020-02-11T18:21:00.211+0100,wslany,PAINTROID
assignee,jira,,,christophbinder,Christoph Binder,PAINTROID-126,2020-03-30T13:43:13.281+0200,christophbinder,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-126,2020-03-30T13:43:13.281+0200,christophbinder,PAINTROID
Developer,custom,,,christophbinder,Christoph Binder,PAINTROID-126,2020-03-30T13:43:13.281+0200,christophbinder,PAINTROID
assignee,jira,christophbinder,Christoph Binder,,,PAINTROID-126,2020-04-30T12:43:56.748+0200,christophbinder,PAINTROID
status,jira,10221,In Development,10007,Ready For Development,PAINTROID-126,2020-04-30T12:43:56.748+0200,christophbinder,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-125,2020-02-11T18:21:53.796+0100,wslany,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-125,2020-02-11T18:23:28.552+0100,wslany,PAINTROID
assignee,jira,,,christophbinder,Christoph Binder,PAINTROID-125,2020-02-23T12:11:58.112+0100,christophbinder,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-125,2020-02-23T12:11:58.112+0100,christophbinder,PAINTROID
Developer,custom,,,christophbinder,Christoph Binder,PAINTROID-125,2020-02-23T12:11:58.112+0100,christophbinder,PAINTROID
assignee,jira,christophbinder,Christoph Binder,,,PAINTROID-125,2020-04-02T12:54:19.113+0200,christophbinder,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-125,2020-04-02T12:54:19.113+0200,christophbinder,PAINTROID
assignee,jira,,,sebastiangrief,Sebastian Grief,PAINTROID-125,2020-04-09T10:23:07.010+0200,sebastiangrief,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-125,2020-04-16T12:08:52.420+0200,sebastiangrief,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-125,2020-04-16T12:08:52.420+0200,sebastiangrief,PAINTROID
Code Reviewer,custom,,,sebastiangrief,Sebastian Grief,PAINTROID-125,2020-04-16T12:08:52.420+0200,sebastiangrief,PAINTROID
assignee,jira,,,wslany,Wolfgang Slany,PAINTROID-125,2020-04-16T12:15:15.973+0200,wslany,PAINTROID
assignee,jira,wslany,Wolfgang Slany,christophbinder,Christoph Binder,PAINTROID-125,2020-04-16T12:40:13.732+0200,wslany,PAINTROID
status,jira,10412,In PO Review,10221,In Development,PAINTROID-125,2020-04-16T12:40:13.732+0200,wslany,PAINTROID
assignee,jira,christophbinder,Christoph Binder,,,PAINTROID-125,2020-04-23T12:24:12.571+0200,christophbinder,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-125,2020-04-23T12:24:12.571+0200,christophbinder,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-125,2020-04-23T20:05:03.965+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,christophbinder,Christoph Binder,PAINTROID-125,2020-04-23T20:05:05.290+0200,tobiasstangl,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-125,2020-04-23T20:05:05.290+0200,tobiasstangl,PAINTROID
Code Reviewer,custom,sebastiangrief,Sebastian Grief,tobiasstangl,Tobias Stangl,PAINTROID-125,2020-04-23T20:05:05.290+0200,tobiasstangl,PAINTROID
Link,jira,,,PAINTROID-82,This issue relates to PAINTROID-82,PAINTROID-124,2020-02-06T13:42:26.786+0100,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-124,2020-02-06T13:43:08.174+0100,wslany,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-124,2020-02-06T13:43:14.530+0100,wslany,PAINTROID
status,jira,10007,Ready For Development,10612,Bug Backlog,PAINTROID-124,2020-02-11T18:17:50.322+0100,wslany,PAINTROID
status,jira,10612,Bug Backlog,10002,Issues Pool,PAINTROID-124,2020-02-11T18:20:05.127+0100,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-124,2020-02-11T18:22:40.256+0100,wslany,PAINTROID
status,jira,10612,Bug Backlog,10212,Rejected,PAINTROID-124,2020-04-02T12:50:01.613+0200,wslany,PAINTROID
resolution,jira,,,10200,Won't Do,PAINTROID-123,2020-02-06T13:32:18.080+0100,wslany,PAINTROID
status,jira,10002,Issues Pool,10212,Rejected,PAINTROID-123,2020-02-06T13:32:18.080+0100,wslany,PAINTROID
Story Points,custom,,,,20,PAINTROID-122,2020-02-06T13:03:09.641+0100,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-122,2020-02-11T18:22:51.792+0100,wslany,PAINTROID
description,jira,,"Editing an image from Pocket Code in Pocket Paint of dramatically increases the file size.

E.g., just turning the [linked image|https://photos.app.goo.gl/3Eyhp5aGnG9v5YcXA] by 90 degree with Paintroid increases the file size in Pocket Code from originally 1.7 MB to 6.1 MB, as can be seen in [this screenshot|https://photos.app.goo.gl/Y1WjBN1dj8qgKSV7A]. 

Instead, we shall make sure that the file size is kept in a similar range after such simple edits. ",,"Editing an image from Pocket Code in Pocket Paint of dramatically increases the file size.

E.g., just turning the [linked image|https://photos.app.goo.gl/3Eyhp5aGnG9v5YcXA] by 90 degree with Paintroid increases the file size in Pocket Code from originally 1.7 MB to 6.1 MB, as can be seen in [this screenshot|https://photos.app.goo.gl/Y1WjBN1dj8qgKSV7A]. 

Instead, we shall make sure that the file size is kept in a similar range after such simple edits. 

Maybe look at https://github.com/zetbaitsu/Compressor",PAINTROID-122,2020-04-30T13:10:15.189+0200,thomasschwengler,PAINTROID
Story Points,custom,,,,5,PAINTROID-121,2020-02-06T12:54:23.215+0100,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-121,2020-02-11T18:20:29.113+0100,wslany,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-121,2020-02-11T18:20:34.858+0100,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-120,2019-11-16T11:35:02.670+0100,thomasschwengler,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-120,2019-11-16T11:35:05.313+0100,thomasschwengler,PAINTROID
Rank,custom,,,,Ranked higher,PAINTROID-120,2019-11-23T20:48:42.076+0100,thomasschwengler,PAINTROID
assignee,jira,,,georgroth,Georg Roth,PAINTROID-120,2019-12-02T15:53:13.374+0100,georgroth,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-120,2019-12-02T15:53:13.374+0100,georgroth,PAINTROID
Developer,custom,,,georgroth,Georg Roth,PAINTROID-120,2019-12-02T15:53:13.374+0100,georgroth,PAINTROID
assignee,jira,georgroth,Georg Roth,,,PAINTROID-120,2019-12-12T09:27:12.325+0100,georgroth,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-120,2019-12-12T09:27:12.325+0100,georgroth,PAINTROID
assignee,jira,,,georgroth,Georg Roth,PAINTROID-120,2019-12-12T09:27:23.007+0100,georgroth,PAINTROID
assignee,jira,georgroth,Georg Roth,thomasschwengler,Thomas Schwengler,PAINTROID-120,2020-02-05T16:26:16.678+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-120,2020-02-05T16:26:18.029+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-120,2020-02-05T16:26:18.029+0100,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-120,2020-02-05T16:26:18.029+0100,thomasschwengler,PAINTROID
description,jira,,"Once a denies the permission twice, he can save this setting and will not be asked again.
After that Pocket Paint generates a misleading I/O error message, while nothing actually failed.

The user should be given a notice to change their app permissions.",,"Once a user denies the permission twice, he can save this setting and will not be asked again.
 After that Pocket Paint generates a misleading I/O error message, while nothing actually failed.

The user should be given a notice to change their app permissions.",PAINTROID-120,2020-02-05T16:41:19.345+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-120,2020-02-05T16:41:26.909+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,georgroth,Georg Roth,PAINTROID-120,2020-02-05T16:41:30.204+0100,thomasschwengler,PAINTROID
status,jira,10412,In PO Review,10221,In Development,PAINTROID-120,2020-02-05T16:41:30.204+0100,thomasschwengler,PAINTROID
Comment,jira,Moved to In PO review by accident,,,,PAINTROID-120,2020-02-05T16:41:41.704+0100,thomasschwengler,PAINTROID
assignee,jira,georgroth,Georg Roth,,,PAINTROID-120,2020-03-05T08:16:19.102+0100,georgroth,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-120,2020-03-05T08:16:19.102+0100,georgroth,PAINTROID
assignee,jira,,,sebastiangrief,Sebastian Grief,PAINTROID-120,2020-03-05T12:02:08.931+0100,sebastiangrief,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,georgroth,Georg Roth,PAINTROID-120,2020-03-05T12:02:22.778+0100,sebastiangrief,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-120,2020-03-05T12:02:22.778+0100,sebastiangrief,PAINTROID
Code Reviewer,custom,thomasschwengler,Thomas Schwengler,sebastiangrief,Sebastian Grief,PAINTROID-120,2020-03-05T12:02:22.778+0100,sebastiangrief,PAINTROID
assignee,jira,georgroth,Georg Roth,,,PAINTROID-120,2020-03-05T13:51:43.154+0100,georgroth,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-120,2020-03-05T13:51:43.154+0100,georgroth,PAINTROID
assignee,jira,,,sebastiangrief,Sebastian Grief,PAINTROID-120,2020-03-05T13:56:38.125+0100,sebastiangrief,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-120,2020-03-05T14:00:47.351+0100,sebastiangrief,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-120,2020-03-05T14:00:47.351+0100,sebastiangrief,PAINTROID
assignee,jira,,,wslany,Wolfgang Slany,PAINTROID-120,2020-03-11T07:44:05.395+0100,wslany,PAINTROID
assignee,jira,wslany,Wolfgang Slany,georgroth,Georg Roth,PAINTROID-120,2020-04-02T11:38:34.465+0200,wslany,PAINTROID
status,jira,10412,In PO Review,10221,In Development,PAINTROID-120,2020-04-02T11:38:34.465+0200,wslany,PAINTROID
assignee,jira,georgroth,Georg Roth,,,PAINTROID-120,2020-04-15T20:08:46.144+0200,georgroth,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-120,2020-04-15T20:08:46.144+0200,georgroth,PAINTROID
assignee,jira,,,sebastiangrief,Sebastian Grief,PAINTROID-120,2020-04-16T12:39:12.132+0200,sebastiangrief,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-120,2020-04-21T16:37:20.401+0200,sebastiangrief,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-120,2020-04-21T16:37:20.401+0200,sebastiangrief,PAINTROID
assignee,jira,,,wslany,Wolfgang Slany,PAINTROID-120,2020-04-21T16:45:40.026+0200,wslany,PAINTROID
resolution,jira,,,1,Fixed,PAINTROID-120,2020-04-21T19:09:19.229+0200,wslany,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-120,2020-04-21T19:09:19.229+0200,wslany,PAINTROID
Code Merger,custom,,,wslany,Wolfgang Slany,PAINTROID-120,2020-04-21T19:09:19.229+0200,wslany,PAINTROID
description,jira,,Fix the back button in the color picker.,,As a user I want to change back to the main view when I click the back button in the color picker.,PAINTROID-119,2019-11-13T10:44:53.214+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-119,2019-11-13T10:44:56.231+0100,thomasschwengler,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-119,2019-11-13T10:44:57.455+0100,thomasschwengler,PAINTROID
Rank,custom,,,,Ranked higher,PAINTROID-119,2019-11-23T20:48:48.091+0100,thomasschwengler,PAINTROID
assignee,jira,,,christophbinder,Christoph Binder,PAINTROID-119,2020-01-22T14:06:04.318+0100,christophbinder,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-119,2020-01-22T14:06:04.318+0100,christophbinder,PAINTROID
Developer,custom,,,christophbinder,Christoph Binder,PAINTROID-119,2020-01-22T14:06:04.318+0100,christophbinder,PAINTROID
assignee,jira,christophbinder,Christoph Binder,,,PAINTROID-119,2020-02-05T10:22:19.176+0100,christophbinder,PAINTROID
status,jira,10221,In Development,10007,Ready For Development,PAINTROID-119,2020-02-05T10:22:19.176+0100,christophbinder,PAINTROID
assignee,jira,,,georgroth,Georg Roth,PAINTROID-119,2020-02-05T15:11:51.263+0100,georgroth,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-119,2020-02-05T15:11:51.263+0100,georgroth,PAINTROID
Developer,custom,christophbinder,Christoph Binder,georgroth,Georg Roth,PAINTROID-119,2020-02-05T15:11:51.263+0100,georgroth,PAINTROID
assignee,jira,georgroth,Georg Roth,,,PAINTROID-119,2020-03-09T15:52:17.766+0100,georgroth,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-119,2020-03-09T15:52:17.766+0100,georgroth,PAINTROID
Rank,custom,,,,Ranked higher,PAINTROID-119,2020-03-19T14:35:26.090+0100,thomasschwengler,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-119,2020-04-02T20:33:39.699+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,georgroth,Georg Roth,PAINTROID-119,2020-04-02T20:33:43.728+0200,tobiasstangl,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-119,2020-04-02T20:33:43.728+0200,tobiasstangl,PAINTROID
Code Reviewer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-119,2020-04-02T20:33:43.728+0200,tobiasstangl,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-118,2019-11-13T10:43:06.010+0100,thomasschwengler,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-118,2019-11-13T10:43:07.467+0100,thomasschwengler,PAINTROID
description,jira,,Change the more options menu background to use a light background theme,,As a user I want the more options menu to visually fit into the app.,PAINTROID-118,2019-11-13T10:46:31.805+0100,thomasschwengler,PAINTROID
Rank,custom,,,,Ranked higher,PAINTROID-118,2019-11-23T20:48:45.480+0100,thomasschwengler,PAINTROID
assignee,jira,,,georgroth,Georg Roth,PAINTROID-118,2019-11-26T14:50:10.257+0100,georgroth,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-118,2019-11-26T14:50:12.477+0100,georgroth,PAINTROID
Developer,custom,,,georgroth,Georg Roth,PAINTROID-118,2019-11-26T14:50:12.477+0100,georgroth,PAINTROID
assignee,jira,georgroth,Georg Roth,,,PAINTROID-118,2019-11-30T20:42:51.955+0100,georgroth,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-118,2019-11-30T20:42:51.955+0100,georgroth,PAINTROID
assignee,jira,,,georgroth,Georg Roth,PAINTROID-118,2019-12-02T15:51:22.018+0100,georgroth,PAINTROID
assignee,jira,georgroth,Georg Roth,tobiasstangl,Tobias Stangl,PAINTROID-118,2019-12-06T13:05:32.329+0100,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,georgroth,Georg Roth,PAINTROID-118,2019-12-11T11:34:34.818+0100,tobiasstangl,PAINTROID
